id;chan_id;val;dtime
19131297;168;22,1;2020-01-01 00:00:07.077
19131477;168;22,1;2020-01-01 00:05:07.053
19131536;168;22,1;2020-01-01 00:10:06.970
19131619;168;22,1;2020-01-01 00:15:07.070
19131799;168;22,1;2020-01-01 00:20:07.110
19131867;168;22;2020-01-01 00:25:07.237
19131954;168;22;2020-01-01 00:30:07.127
19132139;168;22;2020-01-01 00:35:07.267
19132203;168;22,1;2020-01-01 00:40:07.533
19132303;168;22,1;2020-01-01 00:45:07.427
19132467;168;22,1;2020-01-01 00:50:07.550
19132527;168;22,1;2020-01-01 00:55:07.410
19132640;168;22,1;2020-01-01 01:00:07.447
19132792;168;22,1;2020-01-01 01:05:07.353
19132855;168;22,2;2020-01-01 01:10:07.430
19132953;168;22,3;2020-01-01 01:15:07.437
19133111;168;22,3;2020-01-01 01:20:07.493
19133173;168;22,4;2020-01-01 01:25:07.430
19133289;168;22,4;2020-01-01 01:30:07.360
19133437;168;22,4;2020-01-01 01:35:07.247
19133494;168;22,4;2020-01-01 01:40:07.253
19133593;168;22,5;2020-01-01 01:45:07.187
19133786;168;22,5;2020-01-01 01:50:12.240
19133829;168;22,5;2020-01-01 01:55:07.117
19133930;168;22,5;2020-01-01 02:00:07.237
19134098;168;22,4;2020-01-01 02:05:07.160
19134166;168;22,5;2020-01-01 02:10:07.410
19134279;168;22,4;2020-01-01 02:15:07.490
19134434;168;22,4;2020-01-01 02:20:07.477
19134495;168;22,4;2020-01-01 02:25:07.667
19134611;168;22,4;2020-01-01 02:30:07.573
19134765;168;22,4;2020-01-01 02:35:07.483
19134826;168;22,4;2020-01-01 02:40:07.623
19134936;168;22,3;2020-01-01 02:45:07.510
19135101;168;22,3;2020-01-01 02:50:10.180
19135144;168;22,2;2020-01-01 02:55:07.520
19135265;168;22,1;2020-01-01 03:00:07.647
19135421;168;22,1;2020-01-01 03:05:07.610
19135477;168;22;2020-01-01 03:10:07.707
19135595;168;22,1;2020-01-01 03:15:07.603
19135756;168;22;2020-01-01 03:20:10.140
19135801;168;22;2020-01-01 03:25:07.507
19135901;168;22;2020-01-01 03:30:07.433
19136068;168;22;2020-01-01 03:35:07.453
19136120;168;22;2020-01-01 03:40:07.363
19136237;168;21,9;2020-01-01 03:45:07.597
19136397;168;22;2020-01-01 03:50:07.600
19136464;168;22;2020-01-01 03:55:10.030
19136552;168;22;2020-01-01 04:00:07.450
19136727;168;22;2020-01-01 04:05:07.343
19136783;168;21,9;2020-01-01 04:10:07.330
19136876;168;21,9;2020-01-01 04:15:07.150
19137043;168;21,9;2020-01-01 04:20:07.310
19137099;168;22;2020-01-01 04:25:07.207
19137190;168;22;2020-01-01 04:30:07.110
19137372;168;22,1;2020-01-01 04:35:07.087
19137433;168;22,1;2020-01-01 04:40:07.230
