id;chan_id;val;dtime
19131289;201;24,2;2020-01-01 00:00:06.733
19131678;201;24,3;2020-01-01 00:15:08.507
19132011;201;24,2;2020-01-01 00:30:08.663
19132263;201;24,4;2020-01-01 00:45:06.233
19132680;201;24,1;2020-01-01 01:00:11.470
19132917;201;24,2;2020-01-01 01:15:06.547
19133320;201;24;2020-01-01 01:30:08.280
19133656;201;24,2;2020-01-01 01:45:10.927
19133973;201;24,1;2020-01-01 02:00:08.550
19134320;201;24,2;2020-01-01 02:15:11.233
19134637;201;24,2;2020-01-01 02:30:08.930
19134886;201;24,2;2020-01-01 02:45:06.480
19135293;201;24,3;2020-01-01 03:00:09.117
19135612;201;24,3;2020-01-01 03:15:08.320
19135932;201;24,4;2020-01-01 03:30:08.580
19136263;201;24,3;2020-01-01 03:45:08.690
19136600;201;24,4;2020-01-01 04:00:11.547
19136927;201;24,2;2020-01-01 04:15:09.150
19137161;201;24,4;2020-01-01 04:30:05.800
19137592;201;24,3;2020-01-01 04:45:10.947
19137917;201;24,5;2020-01-01 05:00:11.107
19138147;201;24,3;2020-01-01 05:15:06.200
19138554;201;24,5;2020-01-01 05:30:08.920
19138892;201;24,4;2020-01-01 05:45:08.987
19139233;201;24,6;2020-01-01 06:00:11.623
19139543;201;24,5;2020-01-01 06:15:08.340
19139862;201;24,6;2020-01-01 06:30:08.373
19140200;201;24,4;2020-01-01 06:45:08.510
19140526;201;24,4;2020-01-01 07:00:08.893
19140852;201;24,4;2020-01-01 07:15:09.123
19141183;201;24,4;2020-01-01 07:30:09.300
19141510;201;24,5;2020-01-01 07:45:08.410
19141835;201;24,5;2020-01-01 08:00:11.057
19142154;201;24,2;2020-01-01 08:15:08.650
19142480;201;24,2;2020-01-01 08:30:08.777
19142817;201;23,7;2020-01-01 08:45:08.907
19143148;201;23,5;2020-01-01 09:00:09.047
19143486;201;23,9;2020-01-01 09:15:11.747
19143794;201;24,1;2020-01-01 09:30:08.430
19144120;201;24;2020-01-01 09:45:08.517
19144454;201;23,9;2020-01-01 10:00:08.603
19144780;201;23,5;2020-01-01 10:15:08.727
19145111;201;23,4;2020-01-01 10:30:08.910
19145362;201;23;2020-01-01 10:45:06.550
19145686;201;23,1;2020-01-01 11:00:06.710
19146094;201;23,1;2020-01-01 11:15:10.833
19146330;201;23,2;2020-01-01 11:30:05.953
19146786;201;23,3;2020-01-01 11:45:13.673
19147079;201;23,5;2020-01-01 12:00:08.730
19147336;201;23,5;2020-01-01 12:15:06.333
19147749;201;23,7;2020-01-01 12:30:11.533
19148077;201;23,7;2020-01-01 12:45:09.087
19148395;201;23,7;2020-01-01 13:00:09.203
19148711;201;23,7;2020-01-01 13:15:08.430
19149040;201;23,8;2020-01-01 13:30:08.673
19149381;201;23,8;2020-01-01 13:45:08.843
19149716;201;24;2020-01-01 14:00:11.513
19150046;201;23,9;2020-01-01 14:15:09.110
19150400;201;23,9;2020-01-01 14:30:13.347
19150697;201;23,9;2020-01-01 14:45:10.953
19151028;201;24,1;2020-01-01 15:00:11.070
19151345;201;24;2020-01-01 15:15:08.697
19151679;201;24,1;2020-01-01 15:30:08.873
19152044;201;23,9;2020-01-01 15:45:14.013
19152375;201;24,1;2020-01-01 16:00:14.307
19152570;201;23,9;2020-01-01 16:15:05.893
19152986;201;24,1;2020-01-01 16:30:08.587
19153315;201;23,9;2020-01-01 16:45:11.280
19153631;201;24;2020-01-01 17:00:08.807
19153994;201;23,8;2020-01-01 17:15:14.000
19154324;201;23,9;2020-01-01 17:30:14.167
19154626;201;23,9;2020-01-01 17:45:09.193
19154952;201;23,9;2020-01-01 18:00:11.800
19155264;201;23,8;2020-01-01 18:15:08.443
19155606;201;23,8;2020-01-01 18:30:11.280
19155922;201;23,8;2020-01-01 18:45:08.847
19156168;201;23,7;2020-01-01 19:00:06.283
19156501;201;23,7;2020-01-01 19:15:06.513
19156820;201;23,8;2020-01-01 19:30:05.797
19157224;201;23,9;2020-01-01 19:45:08.507
19157468;201;23,8;2020-01-01 20:00:06.160
19157798;201;23,9;2020-01-01 20:15:06.300
19158204;201;23,7;2020-01-01 20:30:09.003
19158528;201;23,8;2020-01-01 20:45:09.113
19158855;201;23,6;2020-01-01 21:00:09.200
19159178;201;23,7;2020-01-01 21:15:10.847
19159502;201;23,6;2020-01-01 21:30:08.490
19159746;201;23,8;2020-01-01 21:45:06.073
19160156;201;23,7;2020-01-01 22:00:08.647
19160484;201;23,9;2020-01-01 22:15:08.633
19160812;201;23,8;2020-01-01 22:30:08.917
19161135;201;23,9;2020-01-01 22:45:09.077
19161381;201;23,9;2020-01-01 23:00:05.703
19161778;201;23,9;2020-01-01 23:15:08.313
19162118;201;23,9;2020-01-01 23:30:08.543
19162454;201;24;2020-01-01 23:45:11.217
19162774;201;24;2020-01-02 00:00:08.790
19163026;201;23,9;2020-01-02 00:15:06.427
19163430;201;24;2020-01-02 00:30:08.167
19163747;201;23,9;2020-01-02 00:45:08.293
19164076;201;24;2020-01-02 01:00:08.453
19164439;201;23,9;2020-01-02 01:15:13.890
19164735;201;24;2020-01-02 01:30:09.060
19165070;201;23,9;2020-01-02 01:45:09.137
19165316;201;24;2020-01-02 02:00:06.783
19165729;201;23,9;2020-01-02 02:15:10.953
19166041;201;24;2020-01-02 02:30:08.533
19166368;201;23,9;2020-01-02 02:45:08.703
19166709;201;24,1;2020-01-02 03:00:08.910
19167028;201;23,9;2020-01-02 03:15:09.107
19167361;201;24;2020-01-02 03:30:09.250
19167690;201;23,9;2020-01-02 03:45:10.930
19168013;201;24;2020-01-02 04:00:08.380
19168265;201;23,9;2020-01-02 04:15:06.013
19168674;201;24;2020-01-02 04:30:08.750
19168918;201;24;2020-01-02 04:45:06.287
19169319;201;24;2020-01-02 05:00:08.983
19169582;201;23,9;2020-01-02 05:15:06.567
19169891;201;24;2020-01-02 05:30:05.733
19170301;201;24,1;2020-01-02 05:45:08.410
19170631;201;24,1;2020-01-02 06:00:08.613
19170977;201;24,4;2020-01-02 06:15:11.247
19171286;201;24,3;2020-01-02 06:30:08.747
19171539;201;24,4;2020-01-02 06:45:06.340
19171865;201;24,3;2020-01-02 07:00:06.483
19172279;201;24,5;2020-01-02 07:15:11.673
19172608;201;24,6;2020-01-02 07:30:10.830
19172836;201;24,4;2020-01-02 07:45:05.853
19173246;201;24,4;2020-01-02 08:00:08.510
19173484;201;23,9;2020-01-02 08:15:06.140
19173889;201;23,9;2020-01-02 08:30:08.877
19174146;201;23,8;2020-01-02 08:45:06.440
19174565;201;24;2020-01-02 09:00:11.577
19174862;201;23,9;2020-01-02 09:15:08.207
19175228;201;24,2;2020-01-02 09:30:13.437
19175509;201;24,1;2020-01-02 09:45:08.577
19175768;201;24;2020-01-02 10:00:06.143
19176088;201;23,8;2020-01-02 10:15:06.460
19176417;201;23,9;2020-01-02 10:30:06.707
19176814;201;23,6;2020-01-02 10:45:08.420
19177132;201;23,6;2020-01-02 11:00:08.533
19177469;201;23,4;2020-01-02 11:15:08.663
19177797;201;23,4;2020-01-02 11:30:08.793
19178133;201;23,4;2020-01-02 11:45:11.407
19178450;201;23,5;2020-01-02 12:00:08.953
