id;chan_id;val;dtime
19131288;199;23,4;2020-01-01 00:00:06.717
19131597;199;23,5;2020-01-01 00:15:05.977
19131934;199;23,5;2020-01-01 00:30:06.123
19132262;199;23,5;2020-01-01 00:45:06.220
19132596;199;23,5;2020-01-01 01:00:06.410
19132994;199;23,5;2020-01-01 01:15:09.080
19133231;199;23,5;2020-01-01 01:30:05.780
19133561;199;23,4;2020-01-01 01:45:05.870
19133890;199;23,5;2020-01-01 02:00:06.030
19134226;199;23,5;2020-01-01 02:15:06.190
19134556;199;23,5;2020-01-01 02:30:06.447
19134964;199;23,5;2020-01-01 02:45:09.027
19135214;199;23,5;2020-01-01 03:00:06.583
19135534;199;23,6;2020-01-01 03:15:05.807
19135857;199;23,6;2020-01-01 03:30:06.060
19136186;199;23,6;2020-01-01 03:45:06.170
19136518;199;23,6;2020-01-01 04:00:06.477
19136852;199;23,7;2020-01-01 04:15:06.617
19137246;199;23,6;2020-01-01 04:30:08.333
19137491;199;23,6;2020-01-01 04:45:05.883
19137821;199;23,7;2020-01-01 05:00:06.037
19138230;199;23,7;2020-01-01 05:15:08.730
19138471;199;23,7;2020-01-01 05:30:06.407
19138811;199;23,8;2020-01-01 05:45:06.470
19139222;199;23,8;2020-01-01 06:00:09.107
19139459;199;23,8;2020-01-01 06:15:05.793
19139784;199;23,8;2020-01-01 06:30:05.843
19140122;199;23,7;2020-01-01 06:45:05.980
19140449;199;23,7;2020-01-01 07:00:06.393
19140775;199;23,7;2020-01-01 07:15:06.573
19141103;199;23,8;2020-01-01 07:30:06.783
19141419;199;24;2020-01-01 07:45:05.860
19141739;199;24;2020-01-01 08:00:05.977
19142076;199;23,8;2020-01-01 08:15:06.117
19142403;199;23,6;2020-01-01 08:30:06.273
19142739;199;23,3;2020-01-01 08:45:06.360
19143071;199;22,2;2020-01-01 09:00:06.517
19143401;199;22,3;2020-01-01 09:15:06.683
19143714;199;21,7;2020-01-01 09:30:05.897
19144041;199;21,2;2020-01-01 09:45:06.010
19144379;199;22;2020-01-01 10:00:06.067
19144823;199;22,3;2020-01-01 10:15:13.790
19145033;199;22,3;2020-01-01 10:30:06.360
19145445;199;22,3;2020-01-01 10:45:09.083
19145685;199;22,4;2020-01-01 11:00:06.693
19146084;199;22,5;2020-01-01 11:15:08.310
19146415;199;22,6;2020-01-01 11:30:08.473
19146762;199;22,8;2020-01-01 11:45:11.157
19147090;199;22,9;2020-01-01 12:00:11.263
19147416;199;22,9;2020-01-01 12:15:08.877
19147660;199;23,1;2020-01-01 12:30:06.480
19147995;199;23,1;2020-01-01 12:45:06.570
19148316;199;23,2;2020-01-01 13:00:06.657
19148630;199;23,2;2020-01-01 13:15:05.870
19148961;199;23,2;2020-01-01 13:30:06.143
19149301;199;23,3;2020-01-01 13:45:06.280
19149626;199;23,3;2020-01-01 14:00:06.450
19149964;199;23,3;2020-01-01 14:15:06.577
19150272;199;23,6;2020-01-01 14:30:05.747
19150678;199;24,3;2020-01-01 14:45:08.437
19150929;199;24,1;2020-01-01 15:00:06.007
19151264;199;24;2020-01-01 15:15:06.157
19151596;199;24;2020-01-01 15:30:06.317
19152003;199;23,9;2020-01-01 15:45:08.957
19152350;199;23,9;2020-01-01 16:00:11.773
19152656;199;23,9;2020-01-01 16:15:08.413
19152900;199;23,7;2020-01-01 16:30:06.070
19153300;199;23,2;2020-01-01 16:45:08.750
19153549;199;22,8;2020-01-01 17:00:06.300
19153952;199;22,4;2020-01-01 17:15:08.947
19154293;199;22,3;2020-01-01 17:30:11.647
19154545;199;22,3;2020-01-01 17:45:06.677
19154866;199;22,2;2020-01-01 18:00:06.750
19155188;199;22,1;2020-01-01 18:15:05.927
19155516;199;21,9;2020-01-01 18:30:06.247
19155923;199;21,7;2020-01-01 18:45:08.847
19156253;199;21,6;2020-01-01 19:00:08.813
19156581;199;21,7;2020-01-01 19:15:09.030
19156897;199;21,8;2020-01-01 19:30:08.333
19157148;199;21,9;2020-01-01 19:45:05.983
19157552;199;21,9;2020-01-01 20:00:08.710
19157879;199;21,9;2020-01-01 20:15:08.817
19158238;199;21,9;2020-01-01 20:30:14.070
19158451;199;21,8;2020-01-01 20:45:06.597
19158779;199;21,6;2020-01-01 21:00:06.667
19159090;199;22;2020-01-01 21:15:05.783
19159415;199;22,4;2020-01-01 21:30:05.983
19159830;199;22,7;2020-01-01 21:45:08.603
19160072;199;22,9;2020-01-01 22:00:06.097
19160401;199;23;2020-01-01 22:15:06.127
19160734;199;23;2020-01-01 22:30:06.383
19161149;199;23;2020-01-01 22:45:11.593
19161471;199;23,1;2020-01-01 23:00:10.767
19161704;199;23,2;2020-01-01 23:15:05.780
19162127;199;23,2;2020-01-01 23:30:11.090
19162362;199;23,3;2020-01-01 23:45:06.140
19162695;199;23,3;2020-01-02 00:00:06.290
19163108;199;23,4;2020-01-02 00:15:11.503
19163339;199;23,4;2020-01-02 00:30:05.650
19163667;199;23,4;2020-01-02 00:45:05.793
19163988;199;23,4;2020-01-02 01:00:05.937
19164398;199;23,4;2020-01-02 01:15:08.843
19164659;199;23,5;2020-01-02 01:30:06.547
19164990;199;23,6;2020-01-02 01:45:06.603
19165317;199;23,6;2020-01-02 02:00:06.783
19165633;199;23,6;2020-01-02 02:15:05.857
19165957;199;23,7;2020-01-02 02:30:06.010
19166289;199;23,8;2020-01-02 02:45:06.180
19166620;199;23,9;2020-01-02 03:00:06.347
19166953;199;23,8;2020-01-02 03:15:06.573
19167281;199;23,9;2020-01-02 03:30:06.717
19167679;199;23,8;2020-01-02 03:45:08.397
19167931;199;23,9;2020-01-02 04:00:05.880
19168264;199;23,9;2020-01-02 04:15:06.000
19168587;199;23,9;2020-01-02 04:30:06.203
19169014;199;23,9;2020-01-02 04:45:11.357
19169318;199;23,9;2020-01-02 05:00:08.983
19169581;199;23,9;2020-01-02 05:15:06.533
19169998;199;23,9;2020-01-02 05:30:10.797
19170314;199;23,9;2020-01-02 05:45:10.943
19170550;199;23,9;2020-01-02 06:00:06.080
19170878;199;23,9;2020-01-02 06:15:06.200
19171210;199;23,9;2020-01-02 06:30:06.213
19171540;199;24;2020-01-02 06:45:06.340
19171938;199;23,9;2020-01-02 07:00:09.030
19172198;199;24;2020-01-02 07:15:06.627
19172508;199;24;2020-01-02 07:30:05.760
19172915;199;24;2020-01-02 07:45:08.380
19173171;199;24;2020-01-02 08:00:05.993
19173562;199;24;2020-01-02 08:15:08.687
19173821;199;24;2020-01-02 08:30:06.330
19174147;199;23,9;2020-01-02 08:45:06.470
19174482;199;23,8;2020-01-02 09:00:06.523
19174790;199;23,9;2020-01-02 09:15:05.660
19175117;199;23,9;2020-01-02 09:30:05.820
19175434;199;23,9;2020-01-02 09:45:06.010
19175767;199;24,1;2020-01-02 10:00:06.130
19176179;199;24,3;2020-01-02 10:15:11.523
19176418;199;24,4;2020-01-02 10:30:06.723
19176733;199;25;2020-01-02 10:45:05.897
19177175;199;24,6;2020-01-02 11:00:13.580
19177384;199;25;2020-01-02 11:15:06.110
19177717;199;24,7;2020-01-02 11:30:06.273
19178122;199;24,4;2020-01-02 11:45:08.873
19178369;199;24,6;2020-01-02 12:00:06.423
19178700;199;24,6;2020-01-02 12:15:06.513
19179108;199;25,1;2020-01-02 12:30:11.727
19179335;199;24,8;2020-01-02 12:45:05.830
19179661;199;24,5;2020-01-02 13:00:06.113
19180081;199;24,4;2020-01-02 13:15:11.377
19180324;199;24,3;2020-01-02 13:30:06.527
19180660;199;24,2;2020-01-02 13:45:06.637
19181088;199;24,3;2020-01-02 14:00:13.390
19181296;199;24,2;2020-01-02 14:15:05.910
19181716;199;24,2;2020-01-02 14:30:08.720
19181957;199;24,1;2020-01-02 14:45:06.307
19182284;199;24;2020-01-02 15:00:06.460
19182612;199;24,2;2020-01-02 15:15:06.443
19183020;199;24,2;2020-01-02 15:30:09.180
19183255;199;24,1;2020-01-02 15:45:05.800
19183588;199;24;2020-01-02 16:00:06.003
19184003;199;23,9;2020-01-02 16:15:11.210
19184326;199;23,9;2020-01-02 16:30:08.817
19184663;199;23,9;2020-01-02 16:45:11.450
19184910;199;23,8;2020-01-02 17:00:06.473
19185239;199;23,9;2020-01-02 17:15:06.583
19185557;199;23,8;2020-01-02 17:30:05.763
19185887;199;23,8;2020-01-02 17:45:05.890
19186339;199;23,8;2020-01-02 18:00:13.640
19186624;199;23,8;2020-01-02 18:15:08.733
19186958;199;23,7;2020-01-02 18:30:08.973
19187193;199;23,7;2020-01-02 18:45:05.643
19187522;199;23,8;2020-01-02 19:00:05.843
19187846;199;23,8;2020-01-02 19:15:06.013
19188177;199;23,8;2020-01-02 19:30:06.287
19188501;199;23,7;2020-01-02 19:45:06.397
19188838;199;22,7;2020-01-02 20:00:06.537
19189238;199;21,9;2020-01-02 20:15:09.240
19189561;199;21,4;2020-01-02 20:30:08.480
19189813;199;20,1;2020-01-02 20:45:06.207
19190146;199;18,9;2020-01-02 21:00:06.273
19190550;199;18,1;2020-01-02 21:15:09.030
19190859;199;17,8;2020-01-02 21:30:08.393
19191190;199;17,9;2020-01-02 21:45:08.597
19191438;199;17,6;2020-01-02 22:00:06.163
19191769;199;17,4;2020-01-02 22:15:06.220
19192093;199;17,4;2020-01-02 22:30:06.467
19192428;199;17,3;2020-01-02 22:45:06.577
19192760;199;17,1;2020-01-02 23:00:06.730
19193068;199;17,2;2020-01-02 23:15:05.943
19193475;199;17,1;2020-01-02 23:30:08.643
19193844;199;17,1;2020-01-02 23:45:13.780
19194120;199;16,9;2020-01-03 00:00:08.777
19194379;199;17,8;2020-01-03 00:15:06.333
19194774;199;18,2;2020-01-03 00:30:09.043
19195029;199;18,7;2020-01-03 00:45:06.630
19195340;199;19;2020-01-03 01:00:05.740
19195672;199;19,2;2020-01-03 01:15:05.857
19196080;199;19,2;2020-01-03 01:30:08.493
19196318;199;19,2;2020-01-03 01:45:06.060
19196729;199;19,2;2020-01-03 02:00:08.683
19196985;199;19,5;2020-01-03 02:15:06.353
19197315;199;19,3;2020-01-03 02:30:06.530
19197644;199;19,2;2020-01-03 02:45:06.620
19198042;199;19,1;2020-01-03 03:00:08.310
19198367;199;19;2020-01-03 03:15:08.423
19198616;199;19,4;2020-01-03 03:30:06.037
19198939;199;19,2;2020-01-03 03:45:06.077
19199356;199;18,9;2020-01-03 04:00:11.240
19199593;199;18,8;2020-01-03 04:15:06.347
19200000;199;18,9;2020-01-03 04:30:10.910
19200241;199;18,8;2020-01-03 04:45:06.017
19200570;199;18,6;2020-01-03 05:00:06.157
19200901;199;18,6;2020-01-03 05:15:06.317
19201227;199;18,6;2020-01-03 05:30:06.450
19201672;199;18,6;2020-01-03 05:45:14.180
19201893;199;19,3;2020-01-03 06:00:06.707
19202211;199;20;2020-01-03 06:15:05.863
19202546;199;20,2;2020-01-03 06:30:05.870
19202871;199;20,3;2020-01-03 06:45:06.020
19203280;199;20,3;2020-01-03 07:00:08.710
19203622;199;20,4;2020-01-03 07:15:11.330
19203857;199;20,5;2020-01-03 07:30:06.413
19204194;199;20,2;2020-01-03 07:45:06.530
19204591;199;20,5;2020-01-03 08:00:09.247
