id;chan_id;val;dtime
19131293;169;17,8;2020-01-01 00:00:07.043
19131476;169;17,9;2020-01-01 00:05:07.020
19131533;169;17,9;2020-01-01 00:10:06.923
19131615;169;18;2020-01-01 00:15:07.023
19131798;169;17,9;2020-01-01 00:20:07.063
19131865;169;17,9;2020-01-01 00:25:07.190
19131950;169;18;2020-01-01 00:30:07.097
19132138;169;18,1;2020-01-01 00:35:07.237
19132201;169;18,1;2020-01-01 00:40:07.500
19132297;169;18,2;2020-01-01 00:45:07.393
19132466;169;18,3;2020-01-01 00:50:07.503
19132524;169;18,4;2020-01-01 00:55:07.380
19132637;169;18,4;2020-01-01 01:00:07.400
19132791;169;18,5;2020-01-01 01:05:07.320
19132853;169;18,4;2020-01-01 01:10:07.383
19132951;169;18,3;2020-01-01 01:15:07.407
19133110;169;18,3;2020-01-01 01:20:07.447
19133171;169;18,2;2020-01-01 01:25:07.400
19133286;169;18,3;2020-01-01 01:30:07.327
19133434;169;18,3;2020-01-01 01:35:07.213
19133493;169;18,5;2020-01-01 01:40:07.207
19133591;169;18,5;2020-01-01 01:45:07.140
19133785;169;18,6;2020-01-01 01:50:12.193
19133827;169;18,7;2020-01-01 01:55:07.070
19133924;169;18,8;2020-01-01 02:00:07.190
19134097;169;18,9;2020-01-01 02:05:07.113
19134165;169;19;2020-01-01 02:10:07.363
19134277;169;19,1;2020-01-01 02:15:07.457
19134433;169;19,3;2020-01-01 02:20:07.430
19134493;169;19,6;2020-01-01 02:25:07.620
19134607;169;19,8;2020-01-01 02:30:07.540
19134764;169;20,1;2020-01-01 02:35:07.437
19134825;169;20,3;2020-01-01 02:40:07.577
19134932;169;20,6;2020-01-01 02:45:07.480
19135100;169;20,8;2020-01-01 02:50:10.133
19135143;169;21;2020-01-01 02:55:07.470
19135261;169;21,2;2020-01-01 03:00:07.617
19135420;169;21,4;2020-01-01 03:05:07.563
19135476;169;21,6;2020-01-01 03:10:07.660
19135590;169;21,8;2020-01-01 03:15:07.557
19135755;169;22,1;2020-01-01 03:20:10.107
19135800;169;22,3;2020-01-01 03:25:07.477
19135894;169;22,6;2020-01-01 03:30:07.403
19136067;169;22,9;2020-01-01 03:35:07.420
19136119;169;23,2;2020-01-01 03:40:07.317
19136234;169;23,4;2020-01-01 03:45:07.567
19136396;169;23,6;2020-01-01 03:50:07.570
19136462;169;23,7;2020-01-01 03:55:09.997
19136549;169;23,8;2020-01-01 04:00:07.400
19136724;169;24;2020-01-01 04:05:07.297
19136782;169;24,1;2020-01-01 04:10:07.280
19136873;169;24,2;2020-01-01 04:15:07.117
19137042;169;24,3;2020-01-01 04:20:07.277
19137098;169;24,4;2020-01-01 04:25:07.177
19137188;169;24,3;2020-01-01 04:30:07.067
19137370;169;24,2;2020-01-01 04:35:07.057
19137432;169;24,2;2020-01-01 04:40:07.180
19137579;169;24;2020-01-01 04:45:09.570
19137692;169;24,1;2020-01-01 04:50:06.973
19137752;169;23,9;2020-01-01 04:55:06.910
19137834;169;24;2020-01-01 05:00:06.787
19138023;169;23,8;2020-01-01 05:05:06.823
19138099;169;23,9;2020-01-01 05:10:09.287
19138158;169;23,9;2020-01-01 05:15:06.730
19138349;169;23,9;2020-01-01 05:20:07.020
19138405;169;24;2020-01-01 05:25:06.953
19138504;169;23,9;2020-01-01 05:30:07.093
19138678;169;24;2020-01-01 05:35:07.170
19138753;169;23,9;2020-01-01 05:40:09.573
19138830;169;24;2020-01-01 05:45:07.050
19139011;169;23,9;2020-01-01 05:50:07.023
19139070;169;24;2020-01-01 05:55:07.110
19139167;169;23,9;2020-01-01 06:00:07.187
19139349;169;23,9;2020-01-01 06:05:07.220
19139399;169;24;2020-01-01 06:10:07.107
19139486;169;23,9;2020-01-01 06:15:07.073
19139665;169;24;2020-01-01 06:20:07.080
19139721;169;23,9;2020-01-01 06:25:07.197
19139823;169;24;2020-01-01 06:30:07.280
19139992;169;23,9;2020-01-01 06:35:07.390
19140049;169;24;2020-01-01 06:40:07.447
19140177;169;24;2020-01-01 06:45:07.480
19140330;169;24,1;2020-01-01 06:50:07.493
19140385;169;24,1;2020-01-01 06:55:07.537
19140496;169;24,1;2020-01-01 07:00:07.487
19140652;169;24,2;2020-01-01 07:05:07.473
19140714;169;24,1;2020-01-01 07:10:07.410
19140798;169;24,2;2020-01-01 07:15:07.357
19140988;169;24,1;2020-01-01 07:20:12.370
19141036;169;24,1;2020-01-01 07:25:07.320
19141115;169;24,1;2020-01-01 07:30:07.237
19141300;169;24;2020-01-01 07:35:07.160
19141357;169;24;2020-01-01 07:40:07.060
19141439;169;24;2020-01-01 07:45:06.987
19141622;169;24;2020-01-01 07:50:06.933
19141695;169;24;2020-01-01 07:55:07.840
19141800;169;24;2020-01-01 08:00:07.697
19141953;169;23,9;2020-01-01 08:05:07.683
19142017;169;24;2020-01-01 08:10:07.643
19142118;169;23,9;2020-01-01 08:15:07.557
19142283;169;23,9;2020-01-01 08:20:07.527
19142349;169;24,1;2020-01-01 08:25:07.823
