id;chan_id;val;dtime
19131287;202;17;2020-01-01 00:00:06.700
19131676;202;16,9;2020-01-01 00:15:08.477
19132009;202;16,9;2020-01-01 00:30:08.630
19132261;202;17,2;2020-01-01 00:45:06.203
19132679;202;17,4;2020-01-01 01:00:11.440
19132915;202;17,4;2020-01-01 01:15:06.530
19133319;202;17,5;2020-01-01 01:30:08.263
19133655;202;17,6;2020-01-01 01:45:10.897
19133972;202;17,8;2020-01-01 02:00:08.533
19134319;202;17,9;2020-01-01 02:15:11.217
19134635;202;18,2;2020-01-01 02:30:08.900
19134885;202;18,2;2020-01-01 02:45:06.450
19135291;202;18,6;2020-01-01 03:00:09.100
19135611;202;18,7;2020-01-01 03:15:08.307
19135931;202;18,9;2020-01-01 03:30:08.547
19136262;202;19,2;2020-01-01 03:45:08.673
19136599;202;19,4;2020-01-01 04:00:11.517
19136926;202;19,7;2020-01-01 04:15:09.117
19137159;202;19,8;2020-01-01 04:30:05.770
19137591;202;20,3;2020-01-01 04:45:10.913
19137916;202;20,4;2020-01-01 05:00:11.073
19138146;202;20,3;2020-01-01 05:15:06.167
19138553;202;20,4;2020-01-01 05:30:08.907
19138891;202;20,7;2020-01-01 05:45:08.970
19139232;202;20,6;2020-01-01 06:00:11.607
19139542;202;20,8;2020-01-01 06:15:08.310
19139860;202;20,6;2020-01-01 06:30:08.343
19140199;202;20,6;2020-01-01 06:45:08.480
19140525;202;20,7;2020-01-01 07:00:08.877
19140851;202;20,7;2020-01-01 07:15:09.093
19141182;202;20,7;2020-01-01 07:30:09.267
19141509;202;20,7;2020-01-01 07:45:08.393
19141834;202;20,8;2020-01-01 08:00:11.040
19142153;202;21,1;2020-01-01 08:15:08.620
19142479;202;21,1;2020-01-01 08:30:08.747
19142815;202;20,7;2020-01-01 08:45:08.877
19143147;202;21;2020-01-01 09:00:09.030
19143485;202;21;2020-01-01 09:15:11.717
19143793;202;21,1;2020-01-01 09:30:08.400
19144119;202;21,1;2020-01-01 09:45:08.487
19144452;202;21,2;2020-01-01 10:00:08.570
19144778;202;21,5;2020-01-01 10:15:08.697
19145110;202;21,8;2020-01-01 10:30:08.880
19145360;202;21,7;2020-01-01 10:45:06.517
19145684;202;22,2;2020-01-01 11:00:06.677
19146093;202;22,4;2020-01-01 11:15:10.817
19146329;202;22,7;2020-01-01 11:30:05.923
19146785;202;22,8;2020-01-01 11:45:13.643
19147077;202;22,8;2020-01-01 12:00:08.713
19147335;202;23;2020-01-01 12:15:06.303
19147748;202;23;2020-01-01 12:30:11.517
19148076;202;23,2;2020-01-01 12:45:09.070
19148393;202;23,2;2020-01-01 13:00:09.173
19148709;202;23,3;2020-01-01 13:15:08.417
19149039;202;23,4;2020-01-01 13:30:08.660
19149380;202;23,4;2020-01-01 13:45:08.797
19149715;202;23,4;2020-01-01 14:00:11.500
19150045;202;23,4;2020-01-01 14:15:09.080
19150398;202;23,4;2020-01-01 14:30:13.330
19150696;202;23,5;2020-01-01 14:45:10.923
19151027;202;23,4;2020-01-01 15:00:11.053
19151344;202;23,4;2020-01-01 15:15:08.663
19151678;202;23,4;2020-01-01 15:30:08.840
19152042;202;23,4;2020-01-01 15:45:13.983
19152374;202;23,4;2020-01-01 16:00:14.273
19152569;202;23,4;2020-01-01 16:15:05.863
19152985;202;23,4;2020-01-01 16:30:08.557
19153313;202;23,4;2020-01-01 16:45:11.250
19153630;202;23,3;2020-01-01 17:00:08.790
19153993;202;23,3;2020-01-01 17:15:13.980
19154322;202;23,4;2020-01-01 17:30:14.137
19154625;202;23,6;2020-01-01 17:45:09.177
19154951;202;23,6;2020-01-01 18:00:11.783
19155263;202;23,7;2020-01-01 18:15:08.413
19155605;202;23,6;2020-01-01 18:30:11.267
19155920;202;23,9;2020-01-01 18:45:08.813
19156166;202;23,8;2020-01-01 19:00:06.267
19156499;202;23,8;2020-01-01 19:15:06.480
19156818;202;23,7;2020-01-01 19:30:05.767
19157223;202;23,6;2020-01-01 19:45:08.473
19157466;202;23,8;2020-01-01 20:00:06.130
19157796;202;23,8;2020-01-01 20:15:06.270
19158203;202;23,7;2020-01-01 20:30:08.987
19158527;202;23,7;2020-01-01 20:45:09.083
19158854;202;23,7;2020-01-01 21:00:09.170
19159177;202;23,8;2020-01-01 21:15:10.813
19159501;202;23,8;2020-01-01 21:30:08.473
19159745;202;23,9;2020-01-01 21:45:06.040
19160155;202;23,8;2020-01-01 22:00:08.613
19160482;202;23,7;2020-01-01 22:15:08.600
19160811;202;23,7;2020-01-01 22:30:08.887
19161134;202;23,7;2020-01-01 22:45:09.047
19161380;202;23,8;2020-01-01 23:00:05.690
19161777;202;23,7;2020-01-01 23:15:08.297
19162116;202;23,7;2020-01-01 23:30:08.527
19162453;202;23,8;2020-01-01 23:45:11.187
19162773;202;23,8;2020-01-02 00:00:08.773
19163025;202;23,7;2020-01-02 00:15:06.393
19163429;202;23,8;2020-01-02 00:30:08.137
