id;chan_id;val;dtime
19131286;200;14,4;2020-01-01 00:00:06.687
19131596;200;14,3;2020-01-01 00:15:05.943
19131932;200;14,3;2020-01-01 00:30:06.110
19132260;200;14,5;2020-01-01 00:45:06.187
19132595;200;14,8;2020-01-01 01:00:06.380
19132993;200;15,1;2020-01-01 01:15:09.063
19133230;200;15,1;2020-01-01 01:30:05.747
19133558;200;15,2;2020-01-01 01:45:05.840
19133889;200;15,5;2020-01-01 02:00:06.000
19134224;200;15,7;2020-01-01 02:15:06.160
19134555;200;16;2020-01-01 02:30:06.413
19134963;200;16,3;2020-01-01 02:45:08.997
19135212;200;16,6;2020-01-01 03:00:06.553
19135533;200;16,9;2020-01-01 03:15:05.790
19135856;200;17,3;2020-01-01 03:30:06.043
19136184;200;17,6;2020-01-01 03:45:06.140
19136516;200;17,9;2020-01-01 04:00:06.443
19136851;200;18,2;2020-01-01 04:15:06.587
19137245;200;18,6;2020-01-01 04:30:08.303
19137490;200;18,8;2020-01-01 04:45:05.853
19137820;200;18,9;2020-01-01 05:00:06.007
19138229;200;18,9;2020-01-01 05:15:08.713
19138468;200;18,9;2020-01-01 05:30:06.373
19138809;200;19,3;2020-01-01 05:45:06.440
19139221;200;19,3;2020-01-01 06:00:09.090
19139458;200;19,5;2020-01-01 06:15:05.777
19139781;200;19,3;2020-01-01 06:30:05.810
19140120;200;19,3;2020-01-01 06:45:05.947
19140448;200;19,7;2020-01-01 07:00:06.377
19140774;200;19,3;2020-01-01 07:15:06.560
19141102;200;19,3;2020-01-01 07:30:06.750
19141418;200;19,1;2020-01-01 07:45:05.847
19141738;200;19,2;2020-01-01 08:00:05.947
19142074;200;19,6;2020-01-01 08:15:06.100
19142402;200;19,7;2020-01-01 08:30:06.243
19142738;200;19,5;2020-01-01 08:45:06.327
19143070;200;19,9;2020-01-01 09:00:06.483
19143400;200;20,3;2020-01-01 09:15:06.653
19143713;200;21,1;2020-01-01 09:30:05.880
19144039;200;21,3;2020-01-01 09:45:05.977
19144378;200;21,2;2020-01-01 10:00:06.050
19144822;200;21,2;2020-01-01 10:15:13.757
19145031;200;21,3;2020-01-01 10:30:06.330
19145444;200;21,5;2020-01-01 10:45:09.067
19145682;200;21,9;2020-01-01 11:00:06.663
19146083;200;22;2020-01-01 11:15:08.293
19146414;200;22,3;2020-01-01 11:30:08.460
19146761;200;22,5;2020-01-01 11:45:11.123
19147089;200;22,6;2020-01-01 12:00:11.233
19147415;200;22,7;2020-01-01 12:15:08.847
19147658;200;22,8;2020-01-01 12:30:06.450
19147993;200;23;2020-01-01 12:45:06.540
19148314;200;23;2020-01-01 13:00:06.627
19148629;200;23,1;2020-01-01 13:15:05.853
19148960;200;23,1;2020-01-01 13:30:06.127
19149300;200;23,1;2020-01-01 13:45:06.250
19149625;200;23,1;2020-01-01 14:00:06.437
19149963;200;23,2;2020-01-01 14:15:06.547
19150270;200;23;2020-01-01 14:30:05.717
19150677;200;22,7;2020-01-01 14:45:08.407
19150926;200;22,6;2020-01-01 15:00:05.973
19151263;200;22,7;2020-01-01 15:15:06.123
19151595;200;22,8;2020-01-01 15:30:06.287
19152002;200;22,7;2020-01-01 15:45:08.927
19152349;200;22,7;2020-01-01 16:00:11.743
19152655;200;22,8;2020-01-01 16:15:08.397
19152899;200;22,9;2020-01-01 16:30:06.040
19153299;200;23;2020-01-01 16:45:08.720
19153547;200;23,2;2020-01-01 17:00:06.283
19153951;200;23,5;2020-01-01 17:15:08.933
19154292;200;23,8;2020-01-01 17:30:11.617
19154543;200;24;2020-01-01 17:45:06.643
19154863;200;24,1;2020-01-01 18:00:06.720
19155187;200;24,2;2020-01-01 18:15:05.910
19155515;200;24,5;2020-01-01 18:30:06.213
